# Cards we want but do not have. See add_cards.py.
#
#   query<TAB>number<TAB>quantity<TAB>note<TAB>kind
#
# quantity 0 means a card we want but do not own. It still gets a full card page
# in the deck plans. Pin the number whenever a name has more than one printing;
# Umbreon ex is a $2 card and a $200 card depending which one you land on.
#
# kind says why the row exists, and it is the column to trust. The section
# headers below are for reading, not for meaning: a row appended to the end of
# the file used to inherit whatever heading happened to be last, which is how a
# binder pull and a mail reorder both ended up filed under an energy-acceleration
# tier list. kind travels with the row instead.
#
#   deck       a deck plan asks for it; wishlist.html costs these against cards.csv
#   ordered    bought, in a cart or in the mail, not arrived yet
#   binder     a collector pull. never going in a deck, so no plan asks for it
#   reorder    paid for once and it never turned up
#   reference  wanted only so a page can show the card art while explaining it
#
# A row is spent once add_cards.py has looked it up: the product id lands in
# product-ids.tsv and the card lands in cards.csv, and those two are the record
# of what we own. So a card that arrives comes out of this file rather than
# being re-filed as owned. Research shortlists do not belong here either - an
# energy-acceleration survey once seeded 40 candidates into this file, and every
# page that read the data took them for 40 things to go buy.

#
# --- eevee-standard.md, the Rainbow DNA toolbox ----------------------------------
Umbreon ex Prismatic Evolutions	060/131	0	NOT the 161/131 chase print	deck
Leafeon ex Prismatic Evolutions	006/131	0		deck
Glaceon ex Prismatic Evolutions	026/131	0		deck
Espeon ex Prismatic Evolutions	034/131	0	eevee-standard	deck
Glaceon Prismatic Evolutions	025/131	0	eevee-standard; the non-ex	deck
Battle Cage Phantasmal Flames	085/094	0	eevee-standard	deck
#
# --- dark-ex.md, the Standard Mega Gengar box ------------------------------------
Mega Gengar ex Phantasmal Flames	056/094	0	since filled by the gengar mega battle deck	deck
Toxel Phantasmal Flames	067/094	0	since filled by the gengar mega battle deck	deck
Toxtricity Phantasmal Flames	068/094	0	since filled by the gengar mega battle deck	deck
Munkidori Twilight Masquerade	095/167	0		deck
Fezandipiti ex Shrouded Fable	038/064	0		deck
Pecharunt ex Shrouded Fable	039/064	0	dark-ex tournament build	deck
Legacy Energy Twilight Masquerade	167/167	0	dark-ex tournament build, ACE SPEC	deck
Energy Switch Mega Evolution	115/132	0	dark-ex tournament build	deck
Air Balloon Ascended Heroes	181/217	0	dark-ex tournament build	deck
#
# --- psychic-lanterns.md, the deck core ------------------------------------------
Litwick Pitch Black	036/084	0	psychic lanterns	deck
Lampent Pitch Black	037/084	0	psychic lanterns	deck
Mega Chandelure ex Pitch Black	038/084	0	psychic lanterns	deck
Pumpkaboo Chaos Rising	040/086	0	psychic lanterns	deck
Gourgeist ex Chaos Rising	041/086	0	psychic lanterns	deck
Duskull Shrouded Fable	018/064	0	psychic lanterns	deck
Dusclops Shrouded Fable	019/064	0	psychic lanterns	deck
Dusknoir Shrouded Fable	020/064	0	psychic lanterns	deck
Snorunt Twilight Masquerade	051/167	0	psychic lanterns	deck
Froslass Twilight Masquerade	053/167	0	psychic lanterns	deck
Prime Catcher Temporal Forces	157/162	0	psychic lanterns, ACE SPEC, owned JP copy is not US-legal	deck
Smoochum Surging Sparks	075/191	0	psychic lanterns	deck
Telepathic Psychic Energy Perfect Order	088/088	0	psychic lanterns	deck
Wondrous Patch Phantasmal Flames	094/094	0	psychic lanterns	deck
Wally's Compassion Mega Evolution	132/132	0	psychic lanterns final build	deck
#
# --- psychic-lanterns.md, Night Parade swap module -------------------------------
https://www.tcgplayer.com/product/178916	103/214	0	night parade module, home only; Vortex of Pain	deck
https://www.tcgplayer.com/product/130759	13/145	0	night parade module, home only; Shady Move	deck
#
# --- frostfire, the Glalie / Chandelure module -----------------------------------
Glalie Twilight Masquerade	052/167	0	frostfire	deck
Chandelure Twilight Masquerade	038/167	0	frostfire	deck
Poké Pad Perfect Order	081/088	0	frostfire	deck
#
# --- fighting-standard.md, Ground Zero -------------------------------------------
Mega Zygarde ex Perfect Order	047/088	0		deck
#
# --- basic energy the decks call for and we have none of -------------------------
Basic Water Energy Mega Evolution Energies	003	0		deck
Basic Lightning Energy Mega Evolution Energies	004	0		deck
Basic Psychic Energy Mega Evolution Energies	005	0		deck
Basic Grass Energy Mega Evolution Energies	001	0		deck
#
# --- staples more than one deck runs ---------------------------------------------
Team Rocket's Spidops Destined Rivals	020/182	0	came in with the energy accel survey; more than one deck runs it	deck
Crispin Stellar Crown	133/142	0	came in with the energy accel survey; more than one deck runs it	deck
Flareon ex Prismatic Evolutions	014/131	0	came in with the energy accel survey; more than one deck runs it	deck
Night Stretcher Shrouded Fable	061/064	0	came in with the energy accel survey; more than one deck runs it	deck
Hilda White Flare	084/086	0	came in with the energy accel survey; more than one deck runs it	deck
Eevee Shrouded Fable	050/064	0	came in with the energy accel survey; more than one deck runs it	deck
#
# --- ordered or in a cart, waiting on the mail -----------------------------------
https://www.tcgplayer.com/product/676890	046/217	0	lanterns; ASC Love Ball Snorunt, swapped for TWM print in cart	ordered
Prime Catcher Prismatic Evolutions	119/131	0	lanterns ACE; PRE reprint of TEF 157, the print actually in cart	ordered
Gengar ex Temporal Forces	104/162	0	wishlist pull, in cart at Murphy's Collection 2026-08-16	ordered
Marshadow Pitch Black	040/084	0	alternatives bench, Shadowy Knot; ordered 2026-08-16	ordered
Chandelure White Flare	018/086	0	fire print, last minute add 2026-08-16	ordered
Litwick White Flare	016/086	0	fire print, last minute add 2026-08-16	ordered
Litwick Twilight Masquerade	036/167	0	fire print, last minute add 2026-08-16	ordered
#
# --- binder pulls, not for play --------------------------------------------------
Night Stretcher Surging Sparks	251/191	0	hyper rare for the binder	binder
Litwick Lost Origin	024/196	0	rotated, binder	binder
Haunter Fossil	21/62	0	vintage, binder	binder
https://www.tcgplayer.com/product/106521	5/62	0	vintage holo grail, LGS find, damaged but decent, $9	binder
#
# --- paid for, never arrived -----------------------------------------------------
Flareon Prismatic Evolutions	013/131	0	reorder: x2 never arrived in the mail; Fox subs other cards in fire force	reorder
#
# --- wanted only for the card art, to show while explaining it -------------------
